InfoCube,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,INFOAREA,Cube Type,Cube Sub Type
0TCT_C14,D,ACT,7.3/00,"2,01,00,41,30,55,859",SAP,BW,0BWTCT,B,
0TCT_C14,M,ACT,7.3/00,"2,01,00,41,30,55,859",SAP,BW,0BWTCT,B,F
0TCT_C12,D,INA,7.3/00,"2,00,81,22,20,90,646",SAP,BW,0BWTCT,B,
0TCT_C05,A,ACT,7.3/00,"2,00,70,80,11,10,529",SAP,BW,0BWTCT,B,F
0TCT_C05,D,ACT,7.3/00,"2,00,70,80,11,10,529",SAP,BW,0BWTCT,B,
0TCT_C05,M,ACT,7.3/00,"2,00,70,80,11,10,529",SAP,BW,0BWTCT,B,F
0TCT_C03,A,ACT,7.3/00,"2,01,00,11,20,84,806",SAP,BW,0BWTCT,B,F
0TCT_C03,D,ACT,7.3/00,"2,01,00,11,20,84,806",SAP,BW,0BWTCT,B,
0TCT_C03,M,ACT,7.3/00,"2,01,00,11,20,84,806",SAP,BW,0BWTCT,B,F
0TCT_C02,A,ACT,7.3/00,"2,00,51,02,11,30,423",SAP,BW,0BWTCT,B,F
0TCT_C02,D,ACT,7.3/00,"2,00,51,02,11,30,423",SAP,BW,0BWTCT,B,
0TCT_C02,M,ACT,7.3/00,"2,00,51,02,11,30,423",SAP,BW,0BWTCT,B,F
